1,6,8,9
1,71,138,144
1,135,138,172
1,236,1207,1210
1,242,720,729
1,372,426,505
1,426,486,577
1,566,823,904
1,791,812,1010
2,12,16,18
2,17,40,41
2,142,276,288
2,270,276,344
2,484,1440,1458
2,514,947,995
2,744,852,1010
2,852,972,1154
2,1132,1646,1808
2,1582,1624,2020
3,4,5,6
3,10,18,19
3,18,24,27
3,34,114,115
3,36,37,46
3,121,131,159
3,213,414,432
3,214,309,340
3,245,340,378
3,405,414,516
3,509,1156,1188
3,632,1533,1568
3,1116,1278,1515
3,1278,1458,1731
3,1485,1954,2206
4,17,22,25
4,24,32,36
4,34,80,82
4,57,248,249
4,284,552,576
4,303,482,519
4,383,1438,1447
4,540,552,688
4,963,972,1219
4,1028,1894,1990
4,1329,1607,1866
4,1418,1587,1899
4,1488,1704,2020
4,1704,1944,2308
5,30,40,45
5,76,123,132
5,86,460,461
5,163,164,206
5,216,436,453
5,232,307,346
5,355,690,720
5,675,690,860
5,877,1347,1461
5,1059,1282,1488
6,8,10,12
6,20,36,38
6,32,33,41
6,36,48,54
6,51,120,123
6,68,228,230
6,72,74,92
6,121,768,769
6,127,180,199
6,179,216,251
6,242,262,318
6,381,436,517
6,426,828,864
6,428,618,680
6,479,718,783
6,490,680,756
6,547,1685,1704
6,810,828,1032
6,828,1585,1657
6,865,1119,1270
6,865,1494,1585
6,867,1597,1678
6,900,1801,1873
6,911,1321,1452
7,14,17,20
7,42,56,63
7,54,57,70
7,119,303,309
7,162,1190,1191
7,317,525,561
7,497,966,1008
7,569,1288,1324
7,945,966,1204
7,1406,1681,1960
8,34,44,50
8,48,64,72
8,68,160,164
8,114,496,498
8,209,1744,1745
8,229,236,293
8,568,1104,1152
8,606,964,1038
8,786,955,1107
8,1080,1104,1376
8,1926,1944,2438
9,12,15,18
9,30,54,57
9,54,72,81
9,55,116,120
9,58,255,256
9,102,342,345
9,108,111,138
9,183,220,256
9,290,583,606
9,363,393,477
9,366,580,625
9,550,1322,1353
9,583,894,970
9,631,642,802
9,639,1242,1296
9,642,927,1020
9,735,1020,1134
9,815,1767,1823
9,1215,1242,1548
10,60,80,90
10,85,200,205
10,152,246,264
10,172,920,922
10,261,323,372
10,291,648,667
10,326,328,412
10,432,872,906
10,464,614,692
10,710,1380,1440
10,723,1277,1350
10,783,953,1104
10,1350,1380,1720
10,1691,1965,2316
11,15,27,29
11,66,88,99
11,237,556,570
11,268,1461,1464
11,493,534,648
11,512,1525,1544
11,607,751,865
11,781,1518,1584
11,1485,1518,1892
12,16,20,24
12,19,53,54
12,31,102,103
12,40,72,76
12,51,66,75
12,64,66,82
12,72,96,108
12,81,136,145
12,86,159,167
12,102,240,246
12,136,456,460
12,144,148,184
12,171,744,747
12,238,315,355
12,242,1536,1538
12,254,360,398
12,358,432,502
12,484,524,636
12,496,765,829
12,524,547,675
