30,120,272,315,353
60,240,544,630,706
90,360,816,945,1059
120,480,1088,1260,1412
150,600,1360,1575,1765
180,720,1632,1890,2118
240,340,430,599,651
480,680,860,1198,1302
720,1020,1290,1797,1953
